iter	Passed	Remaining
827	919	190
828	920	189
829	921	188
830	922	187
831	923	186
832	925	185
833	926	184
834	927	183
835	928	182
836	929	181
837	930	179
838	931	178
839	932	177
840	933	176
841	934	175
842	935	174
843	936	173
844	937	171
845	938	170
846	940	169
847	941	168
848	942	167
849	944	166
850	945	165
851	946	164
852	947	163
853	948	162
854	949	160
855	950	159
856	951	158
857	952	157
858	953	156
859	955	155
860	956	154
861	957	153
862	958	152
863	959	151
864	960	149
865	961	148
866	962	147
867	963	146
868	964	145
869	965	144
870	966	143
871	968	142
872	969	140
873	970	139
874	971	138
875	973	137
876	974	136
877	975	135
878	976	134
879	977	133
880	978	132
881	979	131
882	980	129
883	981	128
884	982	127
885	983	126
886	984	125
887	988	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	119
893	994	117
894	995	116
895	996	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1003	110
901	1004	109
902	1006	108
903	1007	106
904	1008	105
905	1010	104
906	1011	103
907	1012	102
908	1013	101
909	1015	100
910	1016	99
911	1018	98
912	1019	97
913	1020	96
914	1022	94
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1028	89
920	1029	88
921	1030	87
922	1032	86
923	1034	85
924	1035	83
925	1036	82
926	1038	81
927	1039	80
928	1040	79
929	1042	78
930	1043	77
931	1044	76
932	1046	75
933	1052	74
934	1054	73
935	1055	72
936	1056	71
937	1057	69
938	1059	68
939	1060	67
940	1062	66
941	1065	65
942	1066	64
943	1068	63
944	1069	62
945	1071	61
946	1073	60
947	1074	58
948	1075	57
949	1076	56
950	1077	55
951	1079	54
952	1081	53
953	1082	52
954	1083	51
955	1085	49
956	1086	48
957	1087	47
958	1088	46
959	1090	45
960	1091	44
961	1092	43
962	1093	42
963	1095	40
964	1096	39
965	1097	38
966	1099	37
967	1100	36
968	1101	35
969	1102	34
970	1103	32
971	1105	31
972	1106	30
973	1107	29
974	1108	28
975	1110	27
976	1111	26
977	1112	25
978	1114	23
979	1115	22
980	1116	21
981	1117	20
982	1118	19
983	1119	18
984	1120	17
985	1121	15
986	1122	14
987	1123	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1133	4
996	1134	3
997	1135	2
998	1136	1
999	1137	0
